jwl0410,JUM'AT,2,VIIIB,bio0044
jwl0411,JUM'AT,3,VIIIB,bio0044
jwl0412,JUM'AT,4,VIIIB,bio0044
jwl0413,JUM'AT,5,VIIIB,bio0047
jwl0414,SABTU,1,VIIIB,bio0014
jwl0415,SABTU,2,VIIIB,bio0014
jwl0416,SABTU,3,VIIIB,bio0025
jwl0417,SABTU,4,VIIIB,bio0025
jwl0418,SABTU,5,VIIIB,bio0025
jwl0419,SABTU,6,VIIIB,bio0007
jwl0420,SABTU,7,VIIIB,bio0007
jwl0421,SENIN,3,VIIIC,bio0007
jwl0422,SENIN,4,VIIIC,bio0007
jwl0423,SENIN,5,VIIIC,bio0007
jwl0424,SENIN,6,VIIIC,bio0018
jwl0425,SENIN,7,VIIIC,bio0018
jwl0426,SENIN,8,VIIIC,bio0018
jwl0427,SELASA,1,VIIIC,bio0047
jwl0428,SELASA,2,VIIIC,bio0031
